#YYYYMMDD,hour,TDays,Precip_mm_Value,PressureSeaLevel,Temp,HumidityRelative,Clouds8th,WindDirection,WindSpeed_ms
*
19900206,13,36.54166667,,1008.299988,7.099999905,78,8,200,3.599999905
19900206,19,36.79166667,0,1007.799988,5.400000095,95,8,200,4.099999905
19900207,7,37.29166667,1.6,995.5,5.400000095,96,8,190,4.599999905
19900207,13,37.54166667,,989.5,5.699999809,99,8,200,8.199999809
19900207,19,37.79166667,5.3,980.0999756,7,85,5,220,3.099999905
19900208,7,38.29166667,0,978.4000244,2.200000048,88,6,20,3.099999905
19900208,13,38.54166667,,980.7999878,3.799999952,70,3,30,3.099999905
19900208,19,38.79166667,0,988.4000244,2,70,3,70,0.5
19900209,7,39.29166667,0,999.5999756,1,56,1,230,1
19900209,13,39.54166667,,1001.599976,6,42,5,230,5.099999905
19900209,19,39.79166667,0,1000.900024,5.300000191,33,4,230,5.099999905
19900210,7,40.29166667,0,998.4000244,1.200000048,81,3,190,3.099999905
19900210,13,40.54166667,,998.7000122,4.099999905,73,4,230,1
19900210,19,40.79166667,0,997.5999756,5,82,7,180,1.5
19900211,7,41.29166667,1.7,986.5999756,2.900000095,76,8,140,3.599999905
19900211,13,41.54166667,,981.7000122,1.700000048,85,8,150,3.099999905
19900211,19,41.79166667,2.7,982.9000244,3.5,84,7,180,4.099999905
19900212,7,42.29166667,0.6,983,1.600000024,84,8,140,1.5
19900212,13,42.54166667,,982.5,3.400000095,61,6,140,3.599999905
19900212,19,42.79166667,0.1,980.5,2.200000048,68,8,90,5.099999905
19900213,7,43.29166667,2.9,979.2000122,2.5,81,7,80,6.699999809
19900213,13,43.54166667,,979.2000122,1.700000048,85,8,80,5.099999905
19900213,19,43.79166667,5.9,980.4000244,1.5,95,7,210,2.099999905
19900214,7,44.29166667,6.4,983.7000122,1,96,8,90,2.099999905
19900214,13,44.54166667,,987.4000244,1.399999976,84,8,90,2.099999905
19900214,19,44.79166667,1.2,989.2000122,1.100000024,77,8,40,2.099999905
19900215,7,45.29166667,1,988.4000244,-0.699999988,86,7,50,3.099999905
19900215,13,45.54166667,,989.4000244,0.5,76,7,240,1.5
19900215,19,45.79166667,0,991.5999756,-1.799999952,92,3,0,0
19900216,7,46.29166667,0,992.5999756,-3.700000048,96,8,290,0.5
19900216,13,46.54166667,,994,-2.799999952,86,8,70,1.5
19900216,19,46.79166667,0,997.9000244,-2.5,85,7,200,2.099999905
19900217,7,47.29166667,0,1004.200012,-3.799999952,92,8,50,2.099999905
19900217,13,47.54166667,,1006.599976,-3.5,85,8,40,1.5
19900217,19,47.79166667,2,1003,-2.900000095,92,8,40,2.599999905
19900218,7,48.29166667,5.5,997,2.599999905,97,7,0,0
19900218,13,48.54166667,,999.7999878,4,77,5,210,2.099999905
19900218,19,48.79166667,0,1000.599976,3.400000095,85,7,210,2.599999905
19900219,7,49.29166667,0,1004.900024,1.100000024,95,4,240,1
19900219,13,49.54166667,,1003.5,4.099999905,88,8,190,3.099999905
19900219,19,49.79166667,0.4,997.9000244,4.800000191,93,8,200,7.199999809
19900220,7,50.29166667,0.1,996.4000244,6.199999809,86,3,210,5.699999809
19900220,13,50.54166667,,995.7999878,6.599999905,93,8,190,4.599999905
19900220,19,50.79166667,0,998.5999756,9.699999809,33,1,230,7.699999809
19900221,7,51.29166667,0,1012.099976,4.800000191,85,5,210,2.599999905
19900221,13,51.54166667,,1011.700012,5.800000191,85,8,190,3.599999905
19900221,19,51.79166667,3.8,1004.599976,3.799999952,95,7,180,1.5
19900222,7,52.29166667,0.8,1019.099976,2.799999952,63,3,230,4.599999905
19900222,13,52.54166667,,1018,6.099999905,77,8,200,4.099999905
19900222,19,52.79166667,0,1017,6.699999809,84,3,150,2.599999905
19900223,7,53.29166667,0,1017.599976,5.199999809,68,3,240,2.599999905
19900223,13,53.54166667,,1015.099976,8.800000191,70,3,210,5.699999809
19900223,19,53.79166667,0,1013.099976,6.699999809,88,4,190,3.099999905
19900224,7,54.29166667,0,1007,5.800000191,95,8,210,4.099999905
19900224,13,54.54166667,,1004.299988,5.400000095,96,8,220,1
19900224,19,54.79166667,1,1002,4.099999905,90,3,50,1.5
19900225,7,55.29166667,10.5,982,4.5,90,7,250,2.099999905
19900225,13,55.54166667,,988.5,6.900000095,48,2,300,3.099999905
19900225,19,55.79166667,0,991.9000244,4.800000191,63,2,40,2.099999905
19900226,7,56.29166667,3.7,972.2999878,3.599999905,96,8,160,2.599999905
19900226,13,56.54166667,,961.7000122,4,77,8,150,4.099999905
19900226,19,56.79166667,2.5,949.5999756,2.200000048,86,8,40,5.699999809
19900227,7,57.29166667,2,951.4000244,3.099999905,53,7,310,6.199999809
19900227,13,57.54166667,,954.2999878,4.699999809,45,7,270,2.099999905
19900227,19,57.79166667,0,957.9000244,2.5,58,6,330,1.5
19900228,7,58.29166667,0,966.2999878,-2,90,6,210,1
19900228,13,58.54166667,,969.2999878,4.199999809,46,7,200,2.099999905
19900228,19,58.79166667,0,973.5,1.899999976,58,1,30,1
19900301,7,59.29166667,0,976.7999878,-0.800000012,67,6,320,1.5
19900301,13,59.54166667,,981.7999878,1.5,68,7,260,2.099999905
19900301,19,59.79166667,0,986.2000122,1.100000024,30,3,350,4.099999905
19900302,7,60.29166667,0,1002.299988,-0.800000012,38,2,10,7.199999809
19900302,13,60.54166667,,1009.099976,2.799999952,26,2,340,6.199999809
19900302,19,60.79166667,0,1015.299988,0.300000012,25,1,330,3.599999905
19900303,7,61.29166667,0,1024.900024,-6.099999905,63,1,270,0.5
19900303,13,61.54166667,,1023.200012,1,43,7,210,3.599999905
19900303,19,61.79166667,0,1016.5,2,67,7,200,2.099999905
19900304,7,62.29166667,0,1001.5,2.700000048,92,7,290,1
19900304,13,62.54166667,,1006.299988,8.600000381,23,2,320,6.199999809
19900304,19,62.79166667,0,1011,5.599999905,27,1,240,3.599999905
19900305,7,63.29166667,0,994.7999878,3.200000048,77,4,210,4.099999905
19900305,13,63.54166667,,986.2000122,6.400000095,61,6,240,6.699999809
19900305,19,63.79166667,0,986.0999756,3.400000095,46,1,260,5.699999809
19900306,7,64.29166667,0,986.2999878,1,41,1,280,4.099999905
19900306,13,64.54166667,,988.5999756,6.5,23,2,300,9.300000191
19900306,19,64.79166667,0,994.9000244,3.599999905,31,1,320,2.599999905
19900307,7,65.29166667,0,1004.400024,-3.5,62,3,70,1
19900307,13,65.54166667,,1000.200012,-0.899999976,90,8,180,2.599999905
19900307,19,65.79166667,1.4,990.2999878,1.600000024,97,6,240,1.5
19900308,7,66.29166667,0,995.0999756,1.799999952,62,2,230,6.699999809
19900308,13,66.54166667,,997.5,8.300000191,26,2,240,6.199999809
19900308,19,66.79166667,0,998.7999878,5.599999905,29,2,230,3.599999905
19900309,7,67.29166667,3,984.5,1,95,8,30,3.599999905
19900309,13,67.54166667,,987.2999878,3.799999952,62,7,300,4.599999905
19900309,19,67.79166667,0.5,995.7999878,2.400000095,53,6,340,3.099999905
19900310,7,68.29166667,0,1010.799988,-3.900000095,48,6,240,2.099999905
19900310,13,68.54166667,,1005.900024,2.700000048,48,7,230,6.199999809
19900310,19,68.79166667,0,1003.799988,2.799999952,71,7,250,1.5
19900311,7,69.29166667,0.1,1006.5,-0.300000012,71,8,140,1
19900311,13,69.54166667,,994,0,91,8,70,1.5
19900311,19,69.79166667,8.3,991.4000244,1.299999952,88,1,320,1.5
19900312,7,70.29166667,0,990.7999878,4.599999905,36,1,290,6.199999809
19900312,13,70.54166667,,996.7999878,7.300000191,26,2,320,10.30000019
19900312,19,70.79166667,0,1006.5,5,27,1,310,8.199999809
19900313,7,71.29166667,0,1021.400024,-3.700000048,57,1,30,0.5
19900313,13,71.54166667,,1024,4.699999809,29,1,210,2.599999905
19900313,19,71.79166667,0,1024.300049,2.400000095,27,4,210,0.5
19900314,7,72.29166667,0.9,1023.700012,-1,96,8,50,1
19900314,13,72.54166667,,1024.599976,1.700000048,93,8,200,2.099999905
19900314,19,72.79166667,3.1,1023.299988,3.400000095,97,8,200,3.099999905
19900315,7,73.29166667,0.1,1017.5,5.900000095,88,8,200,8.199999809
19900315,13,73.54166667,,1015.799988,6.699999809,77,8,210,6.699999809
19900315,19,73.79166667,0,1014.5,6.599999905,84,7,210,5.099999905
19900316,7,74.29166667,0,1012,6.800000191,90,7,210,4.599999905
19900316,13,74.54166667,,1013.400024,12.10000038,55,5,170,6.199999809
19900316,19,74.79166667,0,1015.700012,9.899999619,71,5,220,4.599999905
19900317,7,75.29166667,0,1020.099976,6.800000191,93,8,210,3.099999905
19900317,13,75.54166667,,1022.099976,8,77,8,230,3.599999905
19900317,19,75.79166667,0,1023.700012,7.300000191,85,7,210,3.099999905
19900318,7,76.29166667,0,1023.700012,5.599999905,93,8,180,2.099999905
19900318,13,76.54166667,,1024.099976,10.69999981,62,5,180,4.599999905
19900318,19,76.79166667,0,1020.900024,7.800000191,85,8,190,2.599999905
19900319,7,77.29166667,0,1011.400024,6.599999905,86,9,190,5.099999905
19900319,13,77.54166667,,1004.700012,8,80,9,190,6.199999809
19900319,19,77.79166667,0,1007.700012,8.199999809,23,1,250,5.699999809
19900320,7,78.29166667,0,1005.599976,2,81,3,230,2.099999905
19900320,13,78.54166667,,1005,9.899999619,26,3,240,7.699999809
19900320,19,78.79166667,0,1007,7.599999905,28,6,260,2.099999905
19900321,7,79.29166667,2.1,1002,5.199999809,97,8,190,5.099999905
19900321,13,79.54166667,,994.2999878,6.099999905,95,8,200,5.699999809
19900321,19,79.79166667,0.9,992.2000122,9,38,4,220,4.099999905
19900322,7,80.29166667,0,989.4000244,4.199999809,73,2,200,4.099999905
19900322,13,80.54166667,,988.7999878,11.19999981,27,3,250,8.199999809
19900322,19,80.79166667,0,993.2000122,8.800000191,28,1,260,4.599999905
19900323,7,81.29166667,0,996.9000244,1.399999976,60,2,240,3.099999905
19900323,13,81.54166667,,995.5,8.399999619,39,7,180,2.599999905
19900323,19,81.79166667,0,993.0999756,7.800000191,56,7,200,4.599999905
19900324,7,82.29166667,0,983.5999756,6.599999905,72,2,220,4.099999905
19900324,13,82.54166667,,986.7000122,9.100000381,38,3,230,9.300000191
19900324,19,82.79166667,0,987.9000244,6.900000095,38,1,240,4.099999905
19900325,7,83.29166667,0,990.5999756,1.5,66,6,300,0.5
19900325,13,83.54166667,,994.7000122,10.10000038,29,7,300,5.099999905
19900325,19,83.79166667,0,1002.900024,9,36,2,20,4.099999905
19900326,7,84.29166667,0,1019.599976,2.599999905,67,1,50,3.099999905
19900326,13,84.54166667,,1022.900024,8.800000191,33,4,50,3.599999905
19900326,19,84.79166667,0,1023.5,9.399999619,32,1,150,1.5
19900327,7,85.29166667,0,1026.5,-0.400000006,89,6,70,0.5
19900327,13,85.54166667,,1026.300049,8.5,45,7,200,5.099999905
19900327,19,85.79166667,0,1024.800049,6,71,5,210,4.099999905
19900328,7,86.29166667,0,1024.699951,1.899999976,95,6,260,1
19900328,13,86.54166667,,1024.099976,8.100000381,41,6,210,4.099999905
19900328,19,86.79166667,0,1024.699951,7.199999809,48,6,180,3.099999905
19900329,7,87.29166667,0,1022.599976,2.599999905,95,7,210,4.099999905
